TGF	LPS	Cholesterol	Fructose	Background	NPC
NAFT18014_P4B5_D14_131_S16	FALSE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P5A2_D14_134_S19	TRUE	TRUE	TRUE	TRUE	lean	high
NAFT18014_P5A5_D14_137_S22	TRUE	TRUE	TRUE	TRUE	fat	high
NAFT18014_P5B2_D14_140_S2	TRUE	TRUE	TRUE	TRUE	lean	low
NAFT18014_P5B5_D14_143_S5	TRUE	TRUE	TRUE	TRUE	fat	low
NAFT18015_P1B2_D14_152_S8	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18015_P1B5_D14_155_S11	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P2A1_D14_157_S14	FALSE	TRUE	FALSE	FALSE	lean	low
NAFT18015_P2A3_D14_159_S17	FALSE	TRUE	FALSE	FALSE	lean	low
NAFT18015_P2A5_D14_161_S20	FALSE	TRUE	FALSE	FALSE	fat	low
NAFT18015_P2B1_D14_163_S23	TRUE	FALSE	FALSE	FALSE	lean	low
NAFT18015_P2B3_D14_165_S3	TRUE	FALSE	FALSE	FALSE	lean	low
NAFT18015_P2B5_D14_167_S6	TRUE	FALSE	FALSE	FALSE	fat	low
NAFT18015_P3A1_D14_169_S9	FALSE	FALSE	FALSE	TRUE	lean	low
NAFT18015_P3A3_D14_171_S12	FALSE	FALSE	FALSE	TRUE	lean	low
NAFT18015_P3A5_D14_173_S15	FALSE	FALSE	FALSE	TRUE	fat	low
NAFT18015_P3B2_D14_175_S18	TRUE	TRUE	FALSE	FALSE	lean	low
NAFT18015_P3B4_D14_177_S21	TRUE	TRUE	FALSE	FALSE	fat	low
NAFT18015_P3B6_D14_179_S24	TRUE	TRUE	FALSE	FALSE	fat	low
NAFT18012_P1B2_D14_56_S8	FALSE	TRUE	FALSE	FALSE	lean	high
NAFT18012_P1B6_D14_60_S11	FALSE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P2A4_D14_64_S14	TRUE	FALSE	FALSE	FALSE	fat	high
NAFT18012_P2B2_D14_68_S17	FALSE	FALSE	FALSE	TRUE	lean	high
NAFT18012_P2B6_D14_72_S20	FALSE	FALSE	FALSE	TRUE	fat	high
NAFT18012_P3A4_D14_76_S23	TRUE	TRUE	FALSE	FALSE	fat	high
NAFT18012_P3B2_D14_80_S3	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18012_P3B6_D14_84_S6	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P1B4_D14_10_S1	FALSE	TRUE	FALSE	TRUE	fat	high
NAFT18013_P2A2_D14_14_S4	FALSE	FALSE	TRUE	TRUE	lean	high
NAFT18013_P2A6_D14_18_S7	FALSE	FALSE	TRUE	TRUE	fat	high
