name,solution
nU1655,0
nU1656,0
nU1657,0
nU1658,0
nU1659,0
nU1660,0
nU1661,0
nU1662,0
nU1663,0
nU1664,0
nU1665,0
nU1666,0
nU1667,0
nU1668,0
nU1669,0
nU1670,0
nU1671,0
nU1672,0
nU1673,0
nU1674,0
nU1675,0
nU1676,0
nU1677,0
nU1678,0
nU1679,0
nU1680,0
nU1681,1
nU1682,0
nU1683,0
nU1684,0
nU1685,0
nU1686,0
nU1687,0
nU1688,0
nU1689,0
nU1690,0
nU1691,0
nU1692,0
nU1693,0
nU1694,0
nU1695,0
nU1696,0
nU1697,0
nU1698,0
nU1699,0
nU1700,0
nU1701,0
nU1702,0
nU1703,0
nU1704,0
nU1705,0
nU1706,0
nU1707,0
nU1708,0
nU1709,0
nU1710,0
nU1711,0
nU1712,0
nU1713,0
nU1714,0
nU1715,0
nU1716,0
nU1717,0
nU1718,0
nU1719,0
nU1720,0
nU1721,0
nU1722,0
nU1723,0
nU1724,0
nU1725,0
nU1726,0
nU1727,0
nU1728,0
nU1729,0
nU1730,0
nU1731,0
nU1732,0
nU1733,0
nU1734,0
nU1735,0
nU1736,0
nU1737,0
nU1738,0
nU1739,0
nU1740,0
nU1741,0
nU1742,0
nU1743,0
nU1744,0
nU1745,0
nU1746,0
nU1747,0
nU1748,0
nU1749,0
nU1750,0
nU1751,0
nU1752,0
nU1753,0
nU1754,0
nU1755,0
nU1756,0
nU1757,0
nU1758,0
nU1759,0
nU1760,0
nU1761,0
nU1762,0
nU1763,0
nU1764,0
nU1765,0
nU1766,0
nU1767,0
nU1768,0
nU1769,0
nU1770,0
nU1771,0
nU1772,0
nU1773,0
nU1774,0
nU1775,0
nU1776,0
nU1777,0
nU1778,0
nU1779,0
nU1780,0
nU1781,0
nU1782,0
nU1783,0
nU1784,0
nU1785,0
nU1786,0
nU1787,0
nU1788,0
nU1789,0
nU1790,0
nU1791,0
nU1792,0
nU1793,0
nU1794,0
nU1795,0
nU1796,0
nU1797,0
nU1798,0
nU1799,0
nU1800,0
nU1801,0
nU1802,0
nU1803,0
nU1804,0
nU1805,0
nU1806,0
nU1807,0
nU1808,0
nU1809,0
nU1810,0
nU1811,0
nU1812,0
nU1813,0
nU1814,0
nU1815,0
nU1816,0
nU1817,0
nU1818,0
nU1819,0
nU1820,0
nU1821,0
nU1822,0
nU1823,0
nU1824,0
nU1825,0
nU1826,0
nU1827,0
nU1828,0
nU1829,0
nU1830,0
nU1831,0
nU1832,0
nU1833,0
nU1834,0
nU1835,0
nU1836,0
nU1837,0
nU1838,0
nU1839,0
nU1840,0
nU1841,0
nU1842,0
nU1843,0
nU1844,0
nU1845,0
nU1846,0
nU1847,0
nU1848,0
nU1849,0
nU1850,0
nU1851,1
nU1852,0
nU1853,0
nU1854,0
nU1855,0
nU1856,0
nU1857,0
nU1858,0
nU1859,0
nU1860,0
nU1861,1
nU1862,0
nU1863,0
nU1864,0
nU1865,0
nU1866,0
nU1867,0
nU1868,0
nU1869,0
nU1870,0
nU1871,0
nU1872,0
nU1873,0
nU1874,0
nU1875,0
nU1876,0
nU1877,0
nU1878,0
nU1879,0
nU1880,0
nU1881,0
nU1882,0
nU1883,0
nU1884,0
nU1885,0
nU1886,0
nU1887,0
nU1888,0
nU1889,0
nU1890,0
nU1891,0
nU1892,0
nU1893,0
nU1894,0
nU1895,0
nU1896,0
nU1897,0
nU1898,0
nU1899,0
nU1900,0
nU1901,0
nU1902,0
nU1903,0
nU1904,0
nU1905,0
nU1906,0
nU1907,0
