Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType
DCN	100	0	0	0	
ICAM3	100	0	0	0	
FGF20	100	0	0	0	
MADCAM1	100	0	0	0	
F9	100	0	0	0	
IGF2R	100	0	0	0	
PLAT	100	0	0	0	
ICAM5	100	0	0	0	
LAMB1	100	0	0	0	
WNT3	100	0	0	0	
VTN	100	0	0	0	
ULBP1	100	0	0	0	
LTF	100	0	0	0	
FGF23	100	0	0	0	
CD46	100	0	0	0	
LAMA5	100	0	0	0	
FLT3LG	100	0	0	0	
LAMC1	100	0	0	0	
THBS1	100	0	0	0	
CD47	100	0	0	0	
CD36	100	0	0	0	
GP1BA	100	0	0	0	
ITGB2	100	0	0	0	
IL18BP	100	0	0	0	
SHANK1	100	0	0	0	
NTN3	100	0	0	0	
CAMP	100	0	0	0	
KITLG	100	0	0	0	
PCSK9	100	0	0	0	
SEMA3E	100	0	0	0	
DPP4	100	0	0	0	
SEMA6D	100	0	0	0	
PTPRZ1	100	0	0	0	
ICAM4	100	0	0	0	
ADAM15	100	0	0	0	
CRHR1	100	0	0	0	
HLA_E	100	0	0	0	
SEMA5A	100	0	0	0	
JAG2	100	0	0	0	
TLR4	100	0	0	0	
RTN4	100	0	0	0	
LAMA3	100	0	0	0	
LAMB2	100	0	0	0	
LAMB3	100	0	0	0	
LAMC2	100	0	0	0	
PROCR	100	0	0	0	
RAET1L	100	0	0	0	
ULBP3	100	0	0	0	
RAET1E	100	0	0	0	
RAET1G	100	0	0	0	
TICAM2	100	0	0	0	
A2M	100	0	0	0	
LRPAP1	100	0	0	0	
GSTP1	100	0	0	0	
ADAM9	100	0	0	0	
SOST	100	0	0	0	
FGF21	100	0	0	0	
COL18A1	100	0	0	0	
LHCGR	100	0	0	0	
PLG	100	0	0	0	
TAC4	100	0	0	0	
TRAF6	100	0	0	0	
LRP8	100	0	0	0	
F7	100	0	0	0	
F3	100	0	0	0	
LAMA2	100	0	0	0	
TFRC	100	0	0	0	
TF	100	0	0	0	
ICAM2	100	0	0	0	
IL37	100	0	0	0	
BAG6	100	0	0	0	
LAMA1	100	0	0	0	
