,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TADA2B,0.08153814,0.0021751712,0.22718796,0.1486661,0.23651852,0.036492564,0.26863816,0.1201928,0.07989541,0.05041263,0.2311236,0.28825918,0.18600282,0.10663985,0.33165264,0.25313076,0.34098318,0.14095724,0.37310284,0.22465748,0.18436009,0.1548773,0.33558828,0.39272386
GRK2,0.07148912,-0.08307168,0.19118707,0.092533216,0.22840784,0.122707054,0.11951324,0.2065831,-0.007100792,0.20012164,-0.025703607,0.17603362,0.08984037,-0.06472044,0.20953831,0.11088446,0.24675909,0.1410583,0.13786449,0.22493434,0.011250453,0.21847288,-0.0073523615,0.19438486
RELA,-0.3794946,-0.23432747,-0.16414012,-0.28707594,-0.105665065,-0.15338907,0.03728645,-0.056891456,-0.22491108,-0.45925573,-0.23453477,-0.26897618,-0.4160713,-0.27090415,-0.20071682,-0.32365263,-0.14224176,-0.18996575,0.0007097535,-0.09346815,-0.26148778,-0.4958324,-0.27111146,-0.30555287
EVC2,-1.0076041,-0.7077131,-0.16634943,-0.7862027,-0.7521329,-0.56695354,-0.60961753,-0.5408016,-0.7608554,-0.82653344,-0.5009018,-0.5039085,-0.90137583,-0.60148484,-0.060121126,-0.67997444,-0.6459046,-0.46072525,-0.50338924,-0.4345733,-0.6546271,-0.72030514,-0.39467353,-0.39768022
ZNF680,0.37949845,0.14713392,0.50521505,-0.13338381,0.043479174,-0.014225047,-0.083542325,0.2220732,0.14722532,0.5523284,-0.12549138,0.6644488,0.28879422,0.05642967,0.4145108,-0.22408806,-0.047225073,-0.1049293,-0.17424658,0.13136895,0.056521073,0.46162415,-0.21619563,0.57374454
HECTD4,-0.7032903,0.2195388,0.36255118,0.35853633,-0.055894673,0.34241956,0.38169962,0.5098654,0.16351075,-0.959143,-0.6315161,0.2642467,-0.72067595,0.20215312,0.34516552,0.34115067,-0.07328034,0.3250339,0.36431396,0.49247974,0.14612508,-0.97652864,-0.64890176,0.24686104
FAM222B,-0.3795086,-0.14257781,0.12974451,-0.08292991,-0.1618179,-0.1729656,-0.13474104,-0.1963565,-0.4544502,-0.4221521,-0.13704175,-0.081411615,-0.46799147,-0.23106068,0.041261643,-0.17141278,-0.25030077,-0.26144847,-0.22322391,-0.2848394,-0.54293305,-0.51063496,-0.22552462,-0.16989449
BNC2,-2.550256,-2.5920866,-1.7987196,-1.8746976,-1.9822669,-2.4706035,-1.5374533,-2.3506083,-2.0299704,-2.2051153,-2.0366957,-2.3320756,-2.0324662,-2.0742967,-1.2809298,-1.3569076,-1.4644771,-1.9528136,-1.0196633,-1.8328185,-1.5121806,-1.6873255,-1.5189059,-1.8142858
DELEC1,-0.81823456,-0.9544984,-0.8573101,-0.7469238,-0.6802374,-0.61980546,-1.044095,-0.71964556,-0.9288584,-0.67766595,-0.567783,-0.93406844,-0.86872685,-1.0049907,-0.9078024,-0.7974161,-0.7307297,-0.67029774,-1.0945873,-0.77013785,-0.9793507,-0.72815824,-0.6182753,-0.9845607
HPSE,-0.29656518,-0.03868784,-0.37940738,-0.33008733,-0.10993303,-0.53216577,-0.51322496,-0.41316518,0.063032866,-0.14096387,-0.49444184,-0.5096721,-0.4210499,-0.16317256,-0.50389206,-0.45457205,-0.23441775,-0.6566505,-0.6377097,-0.53764987,-0.061451852,-0.26544857,-0.6189265,-0.6341568
COQ2,-0.38411155,-0.18996935,-0.22421841,-0.25758994,0.112429336,-0.04676151,0.00088939845,0.08425022,0.09261784,-0.43824035,0.39962298,0.00024205995,-0.31322247,-0.119080245,-0.15332931,-0.18670084,0.18331844,0.024127591,0.0717785,0.15513933,0.16350694,-0.36735123,0.4705121,0.07113116
HSPA6,-0.48948893,-0.15052363,-0.08447912,-0.35582405,-0.335373,-0.057530314,-0.019970912,0.00013590758,-0.7930606,-0.80741864,-0.38810676,-0.46592832,-0.58330387,-0.24433856,-0.17829405,-0.44963896,-0.42918795,-0.15134524,-0.11378583,-0.09367902,-0.8868755,-0.90123355,-0.48192167,-0.5597432
TRMT112,0.025391066,-0.38216296,-0.27381685,-0.18138452,-0.07633699,-0.07508263,-0.18850568,0.018793635,-0.16450885,-0.044353493,-0.3672111,-0.34097776,0.015794557,-0.39175946,-0.28341335,-0.19098103,-0.0859335,-0.08467914,-0.19810219,0.009197124,-0.17410536,-0.053950004,-0.3768076,-0.35057425
LRRN3,-1.0798862,-1.176544,-0.7334985,-0.48647636,-1.4651307,-0.6831539,-0.49062935,-1.192196,-1.221079,-1.0946664,-0.8356264,-0.83012,-1.2328202,-1.3294779,-0.88643247,-0.6394103,-1.6180646,-0.8360879,-0.6435633,-1.34513,-1.374013,-1.2476003,-0.9885604,-0.983054
