,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
CD320,-0.25249684,0.1346953,-0.14237036,-0.11159311,0.2642798,0.065127596,0.20338675,0.2944044,0.06199034,-0.060759537,0.19469063,-0.2835144,-0.1329628,0.25422937,-0.022836313,0.007940933,0.38381386,0.18466164,0.3229208,0.41393843,0.18152438,0.05877451,0.31422466,-0.16398036
SPRYD3,-0.31195107,-0.2337079,-0.11631699,-0.2875827,-0.30314556,-0.33459026,0.09073277,-0.123451,-0.49034375,-0.6590211,-0.208895,-0.39448643,-0.5729643,-0.49472114,-0.37733024,-0.5485959,-0.5641588,-0.59560347,-0.17028047,-0.38446423,-0.75135696,-0.9200343,-0.46990824,-0.6554997
IGFBP6,-1.1351432,-1.5181736,-1.1837736,-0.8969974,-0.9721805,-0.82719016,-0.88353586,-1.2337285,-1.5307139,-1.8276939,-0.9198119,-1.1457524,-1.254705,-1.6377354,-1.3033354,-1.0165592,-1.0917423,-0.946752,-1.0030977,-1.3532903,-1.6502757,-1.9472557,-1.0393738,-1.2653142
ZNF558,0.41586405,0.0020437245,0.32256827,0.2662898,0.1707162,-0.19193023,0.14830987,0.46973905,-0.12831154,0.4317637,0.579571,0.19710174,0.46045074,0.04663042,0.36715496,0.3108765,0.21530288,-0.14734355,0.19289657,0.51432574,-0.08372485,0.4763504,0.6241577,0.24168843
NDUFV1,0.19723548,0.14700776,0.15099044,0.17422792,0.2836942,0.26964688,0.30242017,0.37398702,0.17440113,0.07546503,0.13507912,0.1499624,0.24159706,0.19136934,0.19535202,0.2185895,0.3280558,0.31400847,0.34678173,0.4183486,0.21876271,0.11982661,0.17944069,0.19432397
CDK2AP2,0.309446,-0.118068606,-0.095507175,0.05526526,0.16254391,0.18822889,0.30461618,-0.063254215,0.27692395,-0.2369196,-0.021682613,-0.435581,0.23475732,-0.1927573,-0.17019586,-0.019423429,0.08785522,0.1135402,0.2299275,-0.13794291,0.20223527,-0.31160828,-0.0963713,-0.5102697
C3P1,0.9272338,0.25765288,0.3375344,0.7635409,0.40672925,0.96494,0.5073447,0.2783706,1.0057913,0.4853218,-0.17073148,-0.008163379,1.111158,0.4415771,0.5214586,0.9474652,0.5906535,1.1488643,0.6912689,0.46229482,1.1897155,0.669246,0.013192743,0.17576085
NUDT8,-0.24826351,0.12074994,0.35906792,0.36860305,0.66531813,0.02951371,0.32474908,0.5298383,0.5449052,0.16944987,0.19569929,0.26955214,-0.23270237,0.13631107,0.37462905,0.38416418,0.68087924,0.045074843,0.34031022,0.5453994,0.5604663,0.185011,0.21126042,0.28511328
PRDX2,-0.10676227,-0.20473683,-0.026457172,-0.100967,0.1510867,0.029211156,-0.097994305,0.15024911,-0.045749854,-0.14836076,-0.088980965,-0.07752481,-0.05476007,-0.15273464,0.025545027,-0.0489648,0.20308891,0.081213355,-0.045992106,0.20225132,0.0062523447,-0.09635856,-0.036978766,-0.025522612
ZNF232,0.32837558,-0.0031858354,0.2622146,-0.32485473,0.069148876,0.14259878,-0.06412628,0.09441833,0.21980134,0.24966893,0.3153495,0.07491514,0.3338276,0.0022662093,0.26766664,-0.3194027,0.07460092,0.14805083,-0.05867424,0.09987038,0.22525339,0.25512096,0.32080153,0.080367185
MIS12,-0.02939292,-0.22439165,0.21761489,0.13054138,-0.32954067,-0.039370254,-0.23440175,0.10638612,-0.43540144,0.09332603,-0.0988042,-0.062256187,0.0790381,-0.115960635,0.3260459,0.2389724,-0.22110966,0.069060765,-0.12597072,0.21481714,-0.32697043,0.20175704,0.009626821,0.04617483
CD300A,0.25273925,-0.38547227,-0.5347077,-0.5366091,-0.46014357,-0.2608988,-0.2885303,-0.6383516,-0.49501202,-0.120817386,0.24328588,-0.5317032,0.097774774,-0.54043674,-0.68967223,-0.6915736,-0.615108,-0.41586328,-0.44349477,-0.7933161,-0.6499765,-0.27578187,0.0883214,-0.6866677
