,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
COL4A1,-1.3885245,-1.6160392,-0.7481532,-1.2436926,-1.2608843,-2.1615186,-2.726551,-0.6883869,-1.6161233,-2.0700634,-0.9670203,-1.3088685,-1.5004503,-1.7279649,-0.86007893,-1.3556184,-1.37281,-2.2734444,-2.838477,-0.80031264,-1.728049,-2.1819892,-1.078946,-1.4207942
PTMA,-0.057111546,-0.3340639,-0.10250483,-0.29783982,-0.2790995,-0.26674816,-0.1871632,-0.04967517,-0.14043479,-0.09150546,-0.012133886,-0.20955838,-0.12221548,-0.39916784,-0.16760877,-0.36294377,-0.3442034,-0.33185208,-0.25226712,-0.1147791,-0.20553872,-0.15660939,-0.07723782,-0.27466232
HSPA14,0.051085655,0.18510734,0.33060542,-0.15077296,-0.17014278,-0.087054074,0.41423377,0.044060443,0.3239041,0.16385107,0.15224032,-0.2217867,0.028598925,0.1626206,0.3081187,-0.17325969,-0.19262952,-0.109540805,0.39174706,0.021573713,0.30141738,0.14136434,0.12975359,-0.24427342
SIRT7,-0.22245821,-0.11572497,0.0027820035,-0.076035365,-0.2409291,0.01914335,0.6920361,-0.043890562,-0.09757425,0.16468787,-0.3742117,-0.44187185,-0.21731466,-0.11058142,0.007925559,-0.07089181,-0.23578554,0.024286905,0.6971797,-0.038747005,-0.092430696,0.16983142,-0.36906815,-0.4367283
IFT140,-0.63957345,0.2796878,0.067805044,-0.74543446,-0.36544594,-0.52319163,0.06468385,-0.15140745,-1.5107045,-0.89203054,-0.14348401,-0.63317734,-0.605696,0.31356525,0.1016825,-0.71155703,-0.33156848,-0.48931417,0.0985613,-0.117529996,-1.476827,-0.8581531,-0.10960656,-0.5992999
AGMO,0.8487669,0.74462897,0.792819,1.020284,0.51731837,0.78760546,0.7485725,0.6662701,0.87199384,0.87460846,0.3339329,0.89238316,0.8338773,0.72973937,0.7779294,1.0053945,0.50242877,0.77271587,0.73368293,0.6513805,0.85710424,0.85971886,0.31904328,0.87749356
TLR5,0.3405274,-0.39326438,-0.2545893,-0.8166174,-0.09603545,0.053587012,-0.58503246,-0.6951563,0.69953525,-0.62770075,-0.2120634,-0.9966993,0.24298447,-0.4908073,-0.3521322,-0.9141603,-0.19357836,-0.043955892,-0.68257535,-0.79269916,0.60199237,-0.7252436,-0.3096063,-1.0942422
USP7,-0.12736516,-0.16685708,0.21536092,-0.20030697,-0.24015749,-0.14594889,0.023636043,-0.23838004,-0.22568473,-0.4435571,-0.022385776,-0.13110785,-0.1552573,-0.19474922,0.18746878,-0.22819911,-0.26804963,-0.17384103,-0.0042561013,-0.2662722,-0.25357687,-0.47144926,-0.05027792,-0.159
NHLRC1,0.05380514,-0.0038631416,-0.05355083,0.1999712,0.12069791,0.13159594,-0.23970684,0.0047907894,0.2790391,0.3578176,0.14939305,0.227932,0.0708683,0.013200016,-0.03648767,0.21703435,0.13776107,0.1486591,-0.22264369,0.021853946,0.2961023,0.37488076,0.16645621,0.24499516
MAGEH1,-0.4220938,-0.36864918,-0.29923558,-0.45126176,-0.024574999,-0.29297164,-0.32517806,0.09432924,-0.43674985,-0.1585273,-0.4331831,-0.3665454,-0.41873398,-0.36528936,-0.29587576,-0.44790193,-0.021215176,-0.28961182,-0.32181823,0.09768906,-0.43339002,-0.15516748,-0.42982328,-0.36318558
TET3,-0.924913,-0.68225753,-0.35591364,-0.8488459,-0.9134309,-0.66518015,-0.47236717,-0.6642403,-1.0232723,-1.323788,-0.6011288,-0.74548185,-0.93842024,-0.6957648,-0.3694209,-0.86235315,-0.9269382,-0.6786874,-0.4858744,-0.67774755,-1.0367795,-1.3372953,-0.61463606,-0.7589891
ZNF286A,-0.8224639,0.49788603,-0.06990421,-0.56466734,-0.43234363,-0.29565096,0.4530479,-0.052882187,-0.38553286,0.2592099,-0.8551372,-0.9842977,-0.8568244,0.46352553,-0.1042647,-0.5990278,-0.46670413,-0.33001146,0.4186874,-0.08724268,-0.41989335,0.2248494,-0.8894977,-1.0186582
ISG15,-0.14335102,-0.6745804,0.67445576,0.19617125,0.74443895,0.27900156,1.8065802,0.46062803,0.25777963,-0.10064203,0.020760717,-0.09278004,-0.20063049,-0.73185986,0.6171763,0.13889179,0.6871595,0.2217221,1.7493007,0.40334857,0.20050016,-0.15792151,-0.036518753,-0.1500595
EXD3,-0.43135905,-0.09961808,-0.015812527,0.03356969,0.048802853,0.21274759,0.38066283,0.16319719,-0.79437906,-0.09185029,-0.37325436,-0.2841428,-0.4492062,-0.117465235,-0.033659685,0.015722532,0.030955695,0.19490042,0.36281568,0.14535004,-0.81222624,-0.109697446,-0.3911015,-0.30198994
