,control0,perturbed0
B4GALNT1,-0.22358797,-0.34222513
TFCP2,-0.1895183,-0.15976402
COQ10A,-0.02922142,0.044465322
FAIM2,0.8182828,0.81098163
PAN2,-0.124759234,0.018888645
ESPL1,-0.2370016,-0.25273153
KRT87P,-0.0076147183,0.0002197097
KRT7,-1.1914216,-1.2192438
ZC3H10,-0.1956039,-0.16594058
HNRNPA1,-0.15216285,-0.14467975
ACVR1B,0.054092932,0.08856888
OS9,-0.014241204,0.05999072
MIP,-0.0404326,0.03565361
KCNH3,-0.08525066,-0.113686815
LTV1,-0.022663716,-0.035908002
MAP7,-0.33906344,-0.34278917
CD164,0.15441944,0.32854062
NHSL1,-0.19448234,-0.1873453
AHI1,0.10680675,0.1695149
HEY2,0.046237845,0.13565312
PKIB,-0.87371343,-0.86884195
TAAR5,-0.0067243846,-0.0059165433
NMBR,0.01383632,0.037848886
