"",V1,V2
PPP5C,0.00118738409833378,-0.00471734111667467
CEP68,-0.00285559303053586,0.00583282738439183
MAP4K3,0.000385428369495045,-0.00118834105915553
ZBTB32,0.00102615559932537,0.000747645887069531
TYROBP,0.000643732552459164,-0.00504483355886694
GABRA3,6.68695560370477e-05,-0.000271956239529361
BRCA1,-0.0477913124677862,-0.0342326552566094
ERCC1,0.00930017466920126,-0.000376158154149211
CD22,-0.00686529938790252,-0.00358644507247981
SEMA3B,-0.00706623599972567,0.00113558894861082
MBTPS2,-0.0062321284959757,0.00138038842159437
PRICKLE3,-0.00734971625878059,-0.00536602110510734
LTF,-0.0199593077145683,0.00319301635257625
EXTL3,0.0137661593369271,0.00510178495863899
NR1H4,-0.00193131999854921,-0.000307501994012127
ELOVL5,0.000269252864213574,0.00178032461564531
KDM5D,-0.0321388396481565,0.0195542646594064
CALCOCO1,0.00262061426954233,0.00578913960522819
MAP4K5,-0.00353576503147737,-0.00119528267434708
EHD3,0.00925325318496927,-0.0202259658318911
MAN2B2,-0.00326945524565446,-0.0022431476821622
SLC7A14,-0.000163467301863644,0.00108998554006492
CLDN11,0.0259661142434496,0.00128078321617772
SLC25A39,-0.00166514875067093,0.000428032601116625
MVP,0.0187762318853875,0.0115827515593902
NUB1,-0.000570854919020415,0.00064697547045717
PGM3,-0.000849024029784078,-0.00365046148501695
RWDD2A,-0.0112509290484052,-0.00484068290077067
CLK1,0.00425977864432676,0.00583765025030149
POLR3B,-0.00440129743652881,0.00689813394517237
ANGEL1,0.00933967712490532,0.0101245775365625
RNF14,0.00287129303030254,-0.00213218489170436
DNASE1L1,0.000326652704913313,0.00143985025190201
DDX11,-0.00192821654333506,0.00772123285629925
HEBP1,0.00281617868656561,0.0015176370994195
GPRC5A,-0.0100039825600379,-0.00577783665603467
MAMLD1,0.0170256310422074,-0.00957150931572119
CD6,-0.00472441381064597,-0.00730851410304483
TACC3,-0.00217436828787317,0.0129761828970947
UFL1,-0.00622355599677763,0.00158372667526159
POLA2,-0.00040004264184715,0.00286612518410097
CAPN1,0.00270323935623497,-0.00264172489800057
MDH1,0.000155997641334798,0.00775332193847286
SLC30A9,0.0039579714480235,-0.00477839738676363
MTMR11,0.0151333535620077,0.00888920112129637
COX15,0.00243796455321976,-0.00421976862274455
CCDC88C,-0.00191079507355783,-0.011857532667771
YAF2,0.00555535139514808,-0.00202914516126071
ZMYND11,0.00338098212023039,-0.00115432635685774
WAS,0.00384324857499605,-0.0123863615933555
DPEP1,-0.00105527068032693,0.00521720109301237
BID,0.000918970327813908,-0.00854308466247768
MATR3,-0.00329877993120235,-0.00484467457761177
NPC1L1,0.00255531806888551,-0.00283225407994911
XYLT2,-0.00806750553051524,0.00239490758045917
RGPD5,0.00104956894021821,0.00143712047155543
STMN4,-0.0011652898088888,-0.00063032919880027
NUDCD3,-0.0051975310178709,0.00189073773354312
ISL1,-0.000518421677996038,-0.000395052380837135
CHDH,0.00623329597889048,0.0185666566219166
IL20RA,0.00639178438309721,0.00719075197649554
CLCA1,-9.38232852665563e-05,0.000165067737786536
CLCA4,-0.000171372385358251,-8.15751998528296e-05
GLT8D1,-0.000743371734242075,0.0091486455763598
ATP2C1,-0.000188028470864475,0.000558551092693246
IGF1,-0.0207977039217718,0.0142458962281165
SLC38A5,-0.00552594250387206,-0.000630165095136778
RALBP1,0.000285892009022526,-0.00102505804231351
RUFY3,-0.00118047700919783,-0.0064079869484012
CNTN1,0.0042168643648949,-0.0218547985920472
SLC11A1,-0.00453999246337781,-0.00801759642954749
WWTR1,-0.00436285727416031,-0.00120529422388402
AGPS,-0.00242272787571712,0.00317349081660385
ATP1A2,-0.00870774350149889,0.00756736550582455
TTC27,-0.00807105845453576,0.00541328703622691
ZNF582,-0.00701434573744468,-0.01071304194298
VSIG2,0.00437379539261654,0.0413125975608835
PHLDB1,-0.0119220865425683,0.00626282526529364
MARCO,-0.0175199116290912,-0.00277411773877396
CYP24A1,-0.000745145225874411,0.000421735166704065
PRDM11,-0.0057642001104753,-0.00176081562732015
SYT13,0.00357408883126973,0.00983338879043431
SNAI2,-0.000471664070164404,-0.00333056915817582
CD74,0.000993701039421371,-0.00931936756645422
HGF,-0.00316599961771269,-0.00656878886328576
ZRANB1,0.000220204573620864,-0.00152327707050623
NCDN,-0.00259320855407003,0.00159002472504767
